threshold_value,acc,recall,precision,f1_micro,f1_macro
0.64,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.65,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.66,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.67,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.68,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.6900000000000001,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.7000000000000001,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.71,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.72,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.73,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
0.74,0.8064516129032258,0.0,0.0,0.8064516129032258,0.44642857142857145
